episode,reward,steps,td_error,epsilon,success,invalid_actions,wrapper_penalty,wrapper_bonus,blocked_actions,transformed_actions,risky_action_ratio,useful_actions_ratio
109,-1056.0,200,3.088294407542757,0.9469456023337193,0,56,352.0,0.0,10,10,0.33,0.95
110,-934.5,200,3.2533115916221518,0.9464721295325524,0,47,311.5,0.0,6,6,0.3,0.97
111,-1015.5,200,2.9570942208504114,0.9459988934677862,0,53,338.5,0.0,8,8,0.305,0.96
112,-1056.0,200,3.3950350812918297,0.9455258940210524,0,56,352.0,0.0,8,8,0.335,0.96
113,-826.5,200,2.7479507741097247,0.9450531310740419,0,39,275.5,0.0,7,7,0.275,0.965
114,-1015.5,200,2.966831470164434,0.9445806045085049,0,53,338.5,0.0,9,9,0.31,0.955
115,-1123.5,200,2.5265792393904265,0.9441083142062507,0,61,374.5,0.0,8,8,0.345,0.96
116,-894.0,200,2.999375290893848,0.9436362600491477,0,44,298.0,0.0,11,11,0.28,0.945
117,-988.5,200,2.4656931490416656,0.9431644419191232,0,51,329.5,0.0,5,5,0.28,0.975
118,-948.0,200,3.210129064323716,0.9426928596981636,0,48,316.0,0.0,10,10,0.315,0.95
119,-1083.0,200,3.210869986529138,0.9422215132683146,0,58,361.0,0.0,11,11,0.345,0.945
120,-1069.5,200,3.6502973247686707,0.9417504025116805,0,57,356.5,0.0,7,7,0.335,0.965
121,-961.5,200,3.194128948710688,0.9412795273104247,0,49,320.5,0.0,10,10,0.305,0.95
122,-366.0,103,3.172633352853642,0.9408088875467696,1,18,132.0,10.0,4,4,0.2524,0.9612
123,-1069.5,200,3.4052469852011638,0.9403384831029963,0,57,356.5,0.0,7,7,0.325,0.965
124,-1069.5,200,3.2006603183426803,0.9398683138614449,0,57,356.5,0.0,7,7,0.32,0.965
125,-1231.5,200,3.5752134525449595,0.9393983797045142,0,69,410.5,0.0,9,9,0.39,0.955
126,-934.5,200,2.6425588804623517,0.938928680514662,0,47,311.5,0.0,14,14,0.305,0.93
127,-934.5,200,2.7653190615656467,0.9384592161744048,0,47,311.5,0.0,3,3,0.255,0.985
128,-1069.5,200,3.301506043340618,0.9379899865663176,0,57,356.5,0.0,8,8,0.325,0.96
129,-894.0,200,2.7943749123504404,0.9375209915730345,0,44,298.0,0.0,4,4,0.27,0.98
130,-921.0,200,2.7883505011972085,0.937052231077248,0,46,307.0,0.0,3,3,0.27,0.985
131,-894.0,200,3.2179085683114743,0.9365837049617094,0,44,298.0,0.0,6,6,0.275,0.97
132,-1096.5,200,3.4550197326986307,0.9361154131092286,0,59,365.5,0.0,9,9,0.385,0.955
133,-1002.0,200,2.5506034684533088,0.9356473554026741,0,52,334.0,0.0,9,9,0.305,0.955
134,-1137.0,200,2.7136069798753333,0.9351795317249728,0,62,379.0,0.0,13,13,0.375,0.935
135,-934.5,200,2.591195248595343,0.9347119419591103,0,47,311.5,0.0,8,8,0.275,0.96
136,-961.5,200,2.662791532106611,0.9342445859881309,0,49,320.5,0.0,10,10,0.295,0.95
137,-1164.0,200,3.068757043041825,0.9337774636951368,0,64,388.0,0.0,8,8,0.36,0.96
138,-1150.5,200,3.181354847967987,0.9333105749632893,0,63,383.5,0.0,13,13,0.38,0.935
139,-1042.5,200,2.6706323501171227,0.9328439196758077,0,55,347.5,0.0,6,6,0.305,0.97
140,-948.0,200,3.1244800979170133,0.9323774977159699,0,48,316.0,0.0,4,4,0.29,0.98
141,-1110.0,200,3.215716900342024,0.9319113089671119,0,60,370.0,0.0,9,9,0.345,0.955
142,-880.5,200,2.5434577683338784,0.9314453533126285,0,43,293.5,0.0,6,6,0.245,0.97
143,-1096.5,200,3.432395872815783,0.9309796306359722,0,59,365.5,0.0,3,3,0.31,0.985
144,-934.5,200,2.7718653730071656,0.9305141408206543,0,47,311.5,0.0,8,8,0.305,0.96
145,-1002.0,200,2.4325875318185934,0.9300488837502441,0,52,334.0,0.0,10,10,0.31,0.95
146,-780.0,172,2.8864167231578834,0.9295838593083691,1,41,270.0,10.0,9,9,0.3721,0.9477
147,-1083.0,200,3.0459294340856244,0.929119067378715,0,58,361.0,0.0,7,7,0.325,0.965
148,-1083.0,200,2.5212817194596466,0.9286545078450257,0,58,361.0,0.0,8,8,0.33,0.96
149,-1083.0,200,3.2641541189036123,0.9281901805911033,0,58,361.0,0.0,11,11,0.35,0.945
150,-975.0,200,2.7559021420662764,0.9277260855008077,0,50,325.0,0.0,10,10,0.3,0.95
151,-948.0,200,2.3019640992605046,0.9272622224580573,0,48,316.0,0.0,8,8,0.28,0.96
152,-975.0,200,2.5957617525875354,0.9267985913468284,0,50,325.0,0.0,5,5,0.275,0.975
153,-1056.0,200,2.7866620256246875,0.926335192051155,0,56,352.0,0.0,6,6,0.31,0.97
154,-1015.5,200,3.0170356600918926,0.9258720244551295,0,53,338.5,0.0,7,7,0.3,0.965
155,-583.5,113,4.177373517538601,0.925409088442902,1,33,204.5,10.0,1,1,0.3363,0.9912
