state_id,energy,oxygen,food,fuel,hull,event,energy_lvl,oxygen_lvl,food_lvl,fuel_lvl,hull_lvl,mhi,crisp_risk,status,greedy_action,greedy_qvalue,appropriate_action
67,critical/low,critical/low,stable/mid,optimal/high,stable/mid,Safe Zone,0,0,1,2,1,0.1145,2.6566,CRITICAL,Life Support,0.0,True
68,critical/low,critical/low,stable/mid,optimal/high,optimal/high,Normal,0,0,1,2,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
69,critical/low,critical/low,stable/mid,optimal/high,optimal/high,Solar Storm,0,0,1,2,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
70,critical/low,critical/low,stable/mid,optimal/high,optimal/high,Asteroid Impact,0,0,1,2,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
71,critical/low,critical/low,stable/mid,optimal/high,optimal/high,Safe Zone,0,0,1,2,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
72,critical/low,critical/low,optimal/high,critical/low,critical/low,Normal,0,0,2,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
73,critical/low,critical/low,optimal/high,critical/low,critical/low,Solar Storm,0,0,2,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
74,critical/low,critical/low,optimal/high,critical/low,critical/low,Asteroid Impact,0,0,2,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
75,critical/low,critical/low,optimal/high,critical/low,critical/low,Safe Zone,0,0,2,0,0,0.2811,2.1566,WARNING,Life Support,0.0,True
76,critical/low,critical/low,optimal/high,critical/low,stable/mid,Normal,0,0,2,0,1,0.2811,2.1566,WARNING,Life Support,0.0,True
77,critical/low,critical/low,optimal/high,critical/low,stable/mid,Solar Storm,0,0,2,0,1,0.2811,2.1566,WARNING,Life Support,0.0,True
78,critical/low,critical/low,optimal/high,critical/low,stable/mid,Asteroid Impact,0,0,2,0,1,0.2811,2.1566,WARNING,Life Support,0.0,True
79,critical/low,critical/low,optimal/high,critical/low,stable/mid,Safe Zone,0,0,2,0,1,0.2811,2.1566,WARNING,Life Support,0.0,True
80,critical/low,critical/low,optimal/high,critical/low,optimal/high,Normal,0,0,2,0,2,0.2811,2.1566,WARNING,Life Support,0.0,True
81,critical/low,critical/low,optimal/high,critical/low,optimal/high,Solar Storm,0,0,2,0,2,0.2811,2.1566,WARNING,Life Support,0.0,True
82,critical/low,critical/low,optimal/high,critical/low,optimal/high,Asteroid Impact,0,0,2,0,2,0.2811,2.1566,WARNING,Life Support,0.0,True
83,critical/low,critical/low,optimal/high,critical/low,optimal/high,Safe Zone,0,0,2,0,2,0.2811,2.1566,WARNING,Life Support,0.0,True
84,critical/low,critical/low,optimal/high,stable/mid,critical/low,Normal,0,0,2,1,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
85,critical/low,critical/low,optimal/high,stable/mid,critical/low,Solar Storm,0,0,2,1,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
86,critical/low,critical/low,optimal/high,stable/mid,critical/low,Asteroid Impact,0,0,2,1,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
87,critical/low,critical/low,optimal/high,stable/mid,critical/low,Safe Zone,0,0,2,1,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
88,critical/low,critical/low,optimal/high,stable/mid,stable/mid,Normal,0,0,2,1,1,0.1145,2.6566,CRITICAL,Life Support,0.0,True
89,critical/low,critical/low,optimal/high,stable/mid,stable/mid,Solar Storm,0,0,2,1,1,0.1145,2.6566,CRITICAL,Life Support,0.0,True
90,critical/low,critical/low,optimal/high,stable/mid,stable/mid,Asteroid Impact,0,0,2,1,1,0.1145,2.6566,CRITICAL,Life Support,0.0,True
91,critical/low,critical/low,optimal/high,stable/mid,stable/mid,Safe Zone,0,0,2,1,1,0.1145,2.6566,CRITICAL,Life Support,0.0,True
92,critical/low,critical/low,optimal/high,stable/mid,optimal/high,Normal,0,0,2,1,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
93,critical/low,critical/low,optimal/high,stable/mid,optimal/high,Solar Storm,0,0,2,1,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
94,critical/low,critical/low,optimal/high,stable/mid,optimal/high,Asteroid Impact,0,0,2,1,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
95,critical/low,critical/low,optimal/high,stable/mid,optimal/high,Safe Zone,0,0,2,1,2,0.1145,2.6566,CRITICAL,Life Support,0.0,True
96,critical/low,critical/low,optimal/high,optimal/high,critical/low,Normal,0,0,2,2,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
97,critical/low,critical/low,optimal/high,optimal/high,critical/low,Solar Storm,0,0,2,2,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
98,critical/low,critical/low,optimal/high,optimal/high,critical/low,Asteroid Impact,0,0,2,2,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
99,critical/low,critical/low,optimal/high,optimal/high,critical/low,Safe Zone,0,0,2,2,0,0.1145,2.6566,CRITICAL,Life Support,0.0,True
100,critical/low,critical/low,optimal/high,optimal/high,stable/mid,Normal,0,0,2,2,1,0.1145,2.6566,CRITICAL,Life Support,0.0,True
